oligo	actualcounts	mappedcounts
UTR6.oligo36	1420	1420
UTR13.oligo63	854	854
UTR5.oligo70	1100	1100
UTR12.oligo722	1322	1322
UTR10.oligo555	508	508
UTR3.oligo211	1342	1342
UTR13.oligo147	482	482
UTR11.oligo169	638	638
UTR15.oligo336	1132	1132
UTR12.oligo53	1834	1834
UTR8.oligo21	1536	1536
UTR14.oligo47	1438	1438
UTR10.oligo207	1253	1253
UTR17.oligo825	1856	1856
UTR17.oligo364	1684	1684
UTR14.oligo115	1558	1558
UTR9.oligo418	1532	1532
UTR13.oligo417	1164	1164
UTR15.oligo370	1484	1484
UTR10.oligo451	1346	1346
UTR12.oligo377	748	748
UTR5.oligo9	1838	1838
UTR14.oligo341	1794	1794
UTR16.oligo431	948	948
UTR10.oligo168	1760	1760
UTR10.oligo562	881	881
UTR14.oligo353	1441	1441
UTR12.oligo681	1583	1583
UTR2.oligo10	364	364
UTR6.oligo347	852	852
UTR15.oligo468	1284	1284
UTR13.oligo290	642	642
UTR12.oligo31	534	534
UTR16.oligo357	1392	1392
UTR7.oligo222	1766	1766
UTR2.oligo207	987	987
UTR1.oligo186	760	760
UTR5.oligo372	930	930
UTR2.oligo290	1627	1627
UTR4.oligo438	1545	1545
UTR12.oligo32	831	831
UTR16.oligo384	1294	1294
UTR4.oligo117	1309	1309
UTR15.oligo56	1415	1415
UTR12.oligo599	1790	1790
UTR3.oligo192	815	815
UTR15.oligo867	577	577
UTR14.oligo245	1209	1209
UTR10.oligo408	423	423
UTR15.oligo399	1874	1874
UTR15.oligo514	1851	1851
UTR4.oligo721	1740	1740
UTR3.oligo232	1706	1706
UTR11.oligo99	1784	1784
UTR13.oligo71	1119	1119
UTR6.oligo330	1342	1342
UTR8.oligo85	1062	1062
UTR3.oligo444	1590	1590
UTR7.oligo402	960	960
UTR6.oligo242	481	481
UTR10.oligo428	1245	1245
UTR4.oligo106	1871	1871
UTR7.oligo272	1490	1490
UTR17.oligo688	1790	1790
UTR15.oligo304	323	323
